id,FalseSent,trueSent
5933,Lin feels happy after left out by her brothers,Lin feels sorrowed after left out by her brothers
5934,Ken eats several books every day,Ken reads several books every day
5935,I turned green when passing a crossroads,I turned right when passing a crossroads
5936,He gets energetic after 48 hours of continuous work,He gets exhausted after 48 hours of continuous work
5937,My mind gets clearer after drinking a lot alcohol,My mind gets more confused after drinking a lot alcohol
5938,England declared war on her ally with great honour,England declared war on her rival with great honour
5939,"owing to years of drought and war, his enemy's empire is now very strong","owing to years of drought and war, his enemy's empire is now very weak"
5940,"thanks to the great power of his rivals, it's the best chance he never owns to stab them on the back","thanks to the weakness of his rivals, it's the best chance he never owns to stab them on the back"
5941,Caesar has secretly raised opponents in the enemy country and they will put Caesar's rival down the throne,Caesar has secretly raised opponents in the enemy country and they will pull Caesar's rival down the throne
5942,"due to the lack of salary and training, Octavian will now have more loyalty from his mercenary","due to the lack of salary and training, Octavian will no longer have the loyalty from his mercenary"
5943,"Caesar led his army to cross the river, and he ordered them to burn the river to prevent them from escaping","Caesar led his army to cross the river, and he ordered them to burn the bridges and ships to prevent them from escaping"
5944,Caesar encountered a military defeat and got a lot of spoils,Caesar won a battle and got a lot of spoils
5945,"Caesar captured a lot of prisoners, to whom he surrendered",Caesar captured a lot of prisoners and they surrendered to him
5946,"it's hot inside, we should turn the heater on","it's hot inside, we should turn the AC on"
5947,"it's a good time to exercise outside, because it's rainy","it's a good time to exercise outside, because it's sunny"
5948,"after the dinner, I would like to eat desert","after the dinner, I would like to eat dessert"
5949,I drank a lot of oil after strenuous exercise,I drank a lot of water after strenuous exercise
5950,"because it's very hot, I'd like to swim in the lava","because it's very hot, I'd like to swim in the river"
5951,"compared to the ant, we're so small in scale","compared to earth, we're so small in scale"
5952,the lights were installed in a meeting for a safe landing,the lights were installed in the plane for a safe landing
5953,falling into boiling water makes him feel happy,falling into love makes him feel happy
5954,personal mushrooms are kept in oven to keep fresh,personal mushrooms are kept in refrigerator to keep fresh
5955,a dance is a great way for him to bounce,a dance is a great way for him to express himself
5956,the river belongs to a drop of water,a drop of water belongs to the river
5957,the desert belongs to a grain of sand,a grain of sand belongs to the desert
5958,"it's so cold, and I'm going to drink some lava","it's so cold, and I'm going to drink some hot water"
5959,the sun goes around the earth,the earth goes around the sun
5960,ten peaches were eaten three and eight remained,ten peaches were eaten three and seven remained
5961,Bob closed his eyes and watched TV with his parents,Bob closed his mouth and watched TV with his parents
5962,he was beaten by his mother because he did study well,he was beaten by his mother because he didn't study well
5963,it shines cats and dogs outside,it rains cats and dogs outside
5964,"as he gets cold, his mother asks him to drink more cold water","as he gets cold, his mother asks him to drink more hot water"
5965,"generally speaking, it's very safe to hang out on the dark street at night","generally speaking, it's dangerous to hang out on the dark street at night"
5966,they were travelling in a carpet in the air,they were travelling in a plane in the air
5967,Queen Elizabeth II is a king,Queen Elizabeth II is a queen
5968,the teacher stood on the desk when school started,the teacher stood on the podium when school started
5969,Chauncey eats milk,Chauncey drinks milk
5970,he loves bread more than any other drinks,he loves milk more than any other drinks
5971,he has ten toes on one foot,he has ten toes on his feet
5972,a cup is used to write,a pencil is used to write
5973,he communicates with his remote father with his light bulb,he communicates with his remote father with his phone
5974,he ate chess,he played chess
5975,I lost my brain at the subway station,I lost my wallet at the subway station
5976,he eats tigers every day before lunch,he eat dessert every day before lunch
5977,he pus an elephant in a drawer,he put a frog in a drawer
5978,papers are made of iron,papers are made of wood
5979,wolves are docile naturally,wolves are ferocious naturally
5980,a music box can sleep,a music box can sing
5981,he plants a tree on the sea,he plants a tree on the land
5982,eyes are used to hear things,eyes are used to see things
5983,we need the apple to open the lock,we need the key to open the lock
5984,salt usually taste sweet,salt usually taste salty
5985,obesity is healthy for human,obesity is harmful for human
